Date,KCalories,Fat..g.,X.Of.Fat..Saturated.Fat..g..,X.Of.Fat..Polyunsaturated.Fat..g..,X.Of.Fat..Monounsaturated.Fat..g..,X.Of.Fat..Trans.Fat..g..,Carbohydrates..g.,X.Of.Carbs..Fiber..g..,X.Of.Carbs..Sugar..g..,Protein..g.,Cholesterol..mg.,Sodium..mg.,Potassium..mg.,Vitamin.A,Vitamin.C,Calcium,Iron,Morning.Weight..lbs.,ExerciseHours,fat.percent,carb.percent,protein.percent,total.percent
12/19/2017,2678,191.6,69.9,41,14.6,0,57.2,23.1,11.6,199.6,1137,3896,2311,346,285,294,135,,0,0.626689926,0.083151621,0.290158453,1.027483196
12/20/2017,3583,266.7,111.5,36.2,58.6,3.8,94,22.7,26.8,201.7,1526,3317,3553,310,506,192,137,,0,0.669894784,0.104937066,0.22516815,1.00002791
12/21/2017,2578,193.2,60.7,40.2,49.8,1.9,74.5,29.9,24.1,140.1,941,2944,2931,245,446,241,135,,0,0.66949022,0.11473895,0.21577083,1.007447634
12/22/2017,3009,234.8,67.7,43.6,63.1,1.9,71.8,33.9,24.8,154.9,1041,4479,2920,438,471,365,154,,2,0.699735099,0.095099338,0.205165563,1.0036557
12/23/2017,3469,265.6,82,49.6,31.8,0,101.1,40.6,35.2,182.5,1105,3544,4003,416,725,276,154,,0,0.678166137,0.114729914,0.207103949,1.016085327
12/24/2017,2876,223,90.6,35,8.8,0,70.9,30.5,15.9,152.8,1123,5791,1899,241,266,299,108,,1,0.691639672,0.097732442,0.210627886,1.008970793
12/25/2017,3126,256.2,75.6,40.2,53.3,0,76.7,26.4,23.9,150.4,1551,5153,3155,185,412,293,123,,0,0.71737913,0.095451434,0.187169436,1.028214971
12/26/2017,3457,266.1,92.7,52.4,45.3,0,107.4,42,33.2,183.6,1473,5202,2645,544,313,503,152,,0,0.672932648,0.120711456,0.206355896,1.029476425
12/27/2017,2849,217.6,73.2,41.4,43.5,3.5,64.5,27.2,16,166.7,1124,3333,3101,180,316,292,132,,2,0.679245283,0.089483907,0.23127081,1.012004212
12/28/2017,3442,278.2,100.9,37.5,45.1,1.9,79.8,40.8,16,183.7,1128,3868,3611,533,514,447,170,,0,0.703749508,0.089718365,0.206532127,1.033643231
12/29/2017,3033,245.5,107.4,32,7.8,0,90.5,28.6,28.3,130.8,1249,3326,2841,217,296,245,96,,1,0.713962581,0.116974182,0.169063237,1.020342895
12/30/2017,3366,246.4,86.2,40.6,56.9,1.9,121,25.3,82.2,176.3,1036,3054,3426,165,481,242,131,,0,0.650933427,0.142068804,0.206997769,1.012121212
12/31/2017,3888,288,117.7,35.8,51.5,3.8,77.9,23.1,13.9,238.1,1404,5003,3869,290,372,288,145,,1,0.67219917,0.080809129,0.246991701,0.991769547
1/1/2018,2744,215.2,83.5,37.3,27.8,1.4,65.1,22.8,13.1,148.8,1133,1730,2863,187,592,245,111,,0,0.693596906,0.093253116,0.213149979,1.017638484
1/2/2018,3390,269.1,106.6,39.7,39.3,1.4,74.2,34.9,20.4,182.1,1334,4664,2257,203,385,292,156,,0,0.702590583,0.086101361,0.211308056,1.016843658
1/3/2018,2960,233.3,81.3,43,64.4,3.3,60.6,25.9,14.2,166,1156,2323,3330,147,357,238,136,,1.5,0.698479758,0.08063604,0.220884202,1.015574324
1/4/2018,2433,200.5,68.5,36.7,21.3,1.4,46.6,23,3.1,125.4,1121,2660,1748,270,281,244,121,,0,0.723971916,0.074784353,0.201243731,1.024455405
1/5/2018,3405,282.4,95.8,49.7,42.9,0,95.5,41.5,21,141.2,1054,3865,2368,300,382,320,144,,2,0.728586171,0.109505791,0.161908038,1.024493392
1/6/2018,1483,116.6,55.3,30,2.8,0,37.3,13.5,2.3,75.5,870,1060,1260,100,250,120,62,,0,0.699320272,0.099426896,0.201252832,1.011867835
1/7/2018,2838,222.1,93.7,40.2,15.8,0,76.1,33.1,14.6,146.7,1070,3902,2029,226,365,297,113,,1,0.691636968,0.105325075,0.203037957,1.018357999
1/8/2018,2818,216.6,94.8,36.5,32.4,0,64.2,23.7,11.9,166.7,1071,3072,2637,236,308,244,117,,1,0.678524191,0.089383919,0.23209189,1.019517388
1/9/2018,2752,216.4,90.5,43.5,20,2.3,59.6,20,17.4,152.7,1173,3978,2487,135,281,223,112,,0,0.696367277,0.085240275,0.218392449,1.01627907
3/4/2018,3765,283.2,95.3,50.8,36.7,0,108.2,42,17.1,207.6,1187,5130,2309,281,297,402,392,,1,0.668625393,0.113536201,0.217838405,1.0124834
3/5/2018,2718,212.3,82.8,38.6,31.6,0,74.4,34.5,18.6,139.8,1089,3471,2067,517,269,383,293,,0,0.690406504,0.107533875,0.202059621,1.018211921
3/6/2018,2297,182.7,40.8,37.4,46.5,0,85.4,19,19.4,101.1,218,1125,1771,121,253,42,282,,0,0.687905284,0.142910932,0.169183784,1.040618198
3/7/2018,3348,261.8,97.9,47.5,52.4,1.4,108.9,45.1,20.5,150.3,1134,3285,3198,377,484,252,356,,1.5,0.694429708,0.128381963,0.177188329,1.01344086
3/8/2018,3146,243.1,104.6,29.9,27,1.9,69.8,31,12.3,172.3,1591,5309,2986,234,241,244,324,,0,0.693185058,0.088458005,0.218356937,1.003273999
3/9/2018,3208,245.6,83.2,53.2,50.8,1.9,90.2,37.8,17.1,160.2,998,4240,3182,407,220,393,386,,1,0.688169365,0.112328767,0.199501868,1.001246883
